order,question_id,question_type,question_answer_file,session_count,turn_count,translator_status
44,7405e8b1,multi-session,cases/7405e8b1/question_answer.md,48,469,TODO
45,681a1674,multi-session,cases/681a1674/question_answer.md,49,476,TODO
46,77eafa52,multi-session,cases/77eafa52/question_answer.md,51,527,TODO
47,1192316e,multi-session,cases/1192316e/question_answer.md,42,467,TODO
48,73d42213,multi-session,cases/73d42213/question_answer.md,49,516,TODO
49,d6062bb9,multi-session,cases/d6062bb9/question_answer.md,50,532,TODO
50,157a136e,multi-session,cases/157a136e/question_answer.md,47,503,TODO
51,gpt4_59149c77,temporal-reasoning,cases/gpt4_59149c77/question_answer.md,48,484,TODO
52,gpt4_6dc9b45b,temporal-reasoning,cases/gpt4_6dc9b45b/question_answer.md,48,565,TODO
53,4dfccbf7,temporal-reasoning,cases/4dfccbf7/question_answer.md,47,521,TODO
54,8077ef71,temporal-reasoning,cases/8077ef71/question_answer.md,47,554,TODO
55,gpt4_74aed68e,temporal-reasoning,cases/gpt4_74aed68e/question_answer.md,45,480,TODO
56,71017277,temporal-reasoning,cases/71017277/question_answer.md,51,493,TODO
57,gpt4_d6585ce9,temporal-reasoning,cases/gpt4_d6585ce9/question_answer.md,42,438,TODO
58,gpt4_70e84552,temporal-reasoning,cases/gpt4_70e84552/question_answer.md,48,467,TODO
59,b9cfe692,temporal-reasoning,cases/b9cfe692/question_answer.md,48,492,TODO
60,gpt4_4edbafa2,temporal-reasoning,cases/gpt4_4edbafa2/question_answer.md,41,460,TODO
61,b29f3365,temporal-reasoning,cases/b29f3365/question_answer.md,50,494,TODO
62,gpt4_78cf46a3,temporal-reasoning,cases/gpt4_78cf46a3/question_answer.md,49,505,TODO
63,gpt4_0a05b494,temporal-reasoning,cases/gpt4_0a05b494/question_answer.md,45,506,TODO
64,gpt4_213fd887,temporal-reasoning,cases/gpt4_213fd887/question_answer.md,45,446,TODO
65,gpt4_70e84552_abs,temporal-reasoning,cases/gpt4_70e84552_abs/question_answer.md,50,520,TODO
66,982b5123_abs,temporal-reasoning,cases/982b5123_abs/question_answer.md,44,505,TODO
67,830ce83f,knowledge-update,cases/830ce83f/question_answer.md,47,511,TODO
68,89941a93,knowledge-update,cases/89941a93/question_answer.md,51,528,TODO
69,184da446,knowledge-update,cases/184da446/question_answer.md,42,473,TODO
70,e493bb7c,knowledge-update,cases/e493bb7c/question_answer.md,51,506,TODO
71,72e3ee87,knowledge-update,cases/72e3ee87/question_answer.md,51,496,TODO
72,0e4e4c46,knowledge-update,cases/0e4e4c46/question_answer.md,49,481,TODO
73,7e974930,knowledge-update,cases/7e974930/question_answer.md,47,502,TODO
74,59524333,knowledge-update,cases/59524333/question_answer.md,44,528,TODO
75,e66b632c,knowledge-update,cases/e66b632c/question_answer.md,47,506,TODO
76,0ddfec37,knowledge-update,cases/0ddfec37/question_answer.md,50,483,TODO
77,cc5ded98,knowledge-update,cases/cc5ded98/question_answer.md,53,493,TODO
78,dfde3500,knowledge-update,cases/dfde3500/question_answer.md,47,480,TODO
79,5c40ec5b,knowledge-update,cases/5c40ec5b/question_answer.md,51,479,TODO
80,0977f2af,knowledge-update,cases/0977f2af/question_answer.md,44,484,TODO
81,6aeb4375_abs,knowledge-update,cases/6aeb4375_abs/question_answer.md,46,521,TODO
82,031748ae_abs,knowledge-update,cases/031748ae_abs/question_answer.md,52,523,TODO
83,2698e78f_abs,knowledge-update,cases/2698e78f_abs/question_answer.md,46,462,TODO
84,7e00a6cb,single-session-assistant,cases/7e00a6cb/question_answer.md,62,564,TODO
85,1903aded,single-session-assistant,cases/1903aded/question_answer.md,47,486,TODO
86,f523d9fe,single-session-assistant,cases/f523d9fe/question_answer.md,50,484,TODO
87,cc539528,single-session-assistant,cases/cc539528/question_answer.md,48,496,TODO
88,1d4da289,single-session-assistant,cases/1d4da289/question_answer.md,55,506,TODO
89,2bf43736,single-session-assistant,cases/2bf43736/question_answer.md,44,478,TODO
90,1b9b7252,single-session-assistant,cases/1b9b7252/question_answer.md,46,466,TODO
91,1568498a,single-session-assistant,cases/1568498a/question_answer.md,47,478,TODO
92,6222b6eb,single-session-assistant,cases/6222b6eb/question_answer.md,46,497,TODO
93,d596882b,single-session-assistant,cases/d596882b/question_answer.md,44,474,TODO
94,51b23612,single-session-assistant,cases/51b23612/question_answer.md,47,481,TODO
95,7a8d0b71,single-session-assistant,cases/7a8d0b71/question_answer.md,45,489,TODO
96,a40e080f,single-session-assistant,cases/a40e080f/question_answer.md,48,529,TODO
97,8b9d4367,single-session-assistant,cases/8b9d4367/question_answer.md,53,537,TODO
98,b759caee,single-session-assistant,cases/b759caee/question_answer.md,53,516,TODO
99,c8f1aeed,single-session-assistant,cases/c8f1aeed/question_answer.md,50,504,TODO
100,65240037,single-session-assistant,cases/65240037/question_answer.md,51,489,TODO
